id;pdm_id;codigo;titulo;contexto;complemento;macrotema_id;tema_id;subtema_id;status;inativa;motivo_inativacao;data_inativacao;indicador_temp;ods_temp
1;1;1;Atender 1.700.000 pessoas em programas de transferência de renda e/ou apoio nutricional.;"A pobreza, a vulnerabilidade social e as desigualdades se configuram como problemas históricos do Brasil e da América Latina. A pandemia da Covid-19 evidenciou mais fortemente as inúmeras desigualdades sociais e regionais, que afetam os meios de subsistência de diversas famílias, impactam no emprego e na renda, resultam na falta de condições básicas como acesso a alimentos e material de higiene, e exacerbam a fome e a miséria nas comunidades mais vulneráveis. 
Os Programas de Transferência de Renda se firmaram nas últimas décadas como uma estratégia fundamental no enfrentamento à pobreza. Contudo, estimativas da Secretaria Municipal de Assistência e Desenvolvimento Social apontam para cerca de 120 mil famílias em situação de extrema pobreza não atendidas por programas de transferência de renda, como o Bolsa-Família, em maio/2021.
O Inquérito Nacional sobre Insegurança Alimentar no Contexto da Pandemia da Covid-19 no Brasil indica que nos últimos meses de 2020, 19 milhões de brasileiros passaram fome e mais da metade dos domicílios no país enfrentou algum grau de insegurança alimentar (Rede Brasileira de Pesquisa em Soberania e Segurança Alimentar e Nutricional, 2021).
Nesse contexto, são previstas para a gestão o fortalecimento de iniciativas como a concessão de benefícios de transferência direta e condicionada de renda, com expansão do público atendido, benefício em cartão alimentação disponibilizado às famílias em situação de vulnerabilidade social, o Programa Leve Leite, o Programa Municipal de Combate ao Desperdício e à Perda de Alimentos e ainda o programa de doação de alimentos para entidades socioassistenciais.
Para além das medidas contempladas na meta, no contexto da pandemia a Prefeitura de São Paulo implantou programas a fim de assegurar a segurança alimentar para a população mais vulnerável, por meio do fornecimento de cestas básicas e refeições prontas. Houve ainda o fornecimento do Cartão-merenda, de forma a não acentuar a vulnerabilidade das crianças e adolescentes diante da suspensão do ensino presencial e não fornecimento de merenda.";"Atendimento de caráter provisório: 
Renda Básica Emergencial;
 
Atendimento de caráter permanente: 
Benefícios de transferência direta e condicionada de renda;
Benefício em cartão alimentação disponibilizados às famílias em situação de vulnerabilidade social; 
Programa Leve Leite;
Pessoas beneficiadas pelo Programa Municipal de Combate ao Desperdício e à Perda de Alimentos; 
Pessoas beneficiadas por entidades socioassistenciais que participam do programa de doações de alimentos.";1;1;NULL;NULL;False;NULL;NULL;Média móvel dos últimos 12 meses do número de pessoas atendidas em programas de transferência de renda e/ou apoio nutricional de caráter permanente somada ao número absoluto de beneficiários da Renda Básica Emergencial.;"1;2"
2;1;2;Implantar o Prontuário Eletrônico em 100% das UBS do Município.;"A implantação do prontuário eletrônico em todas as UBSs do município trará maior eficiência e efetividade no atendimento ao usuário. Com a utilização da tecnologia, os profissionais da saúde terão disponível o histórico do paciente, de maneira mais rápida e integrada. 
Além da implantação do prontuário eletrônico nas UBSs que ainda não o utilizam, haverá aprimoramentos de tecnologia que permitirão a integração aos demais sistemas da Secretaria Municipal da Saúde e a utilização do cadastro único do munícipe em todos os equipamentos de saúde. 
Isso contribui para o combate a epidemias, à exemplo da de Covid-19 no município, uma vez que possibilita o acolhimento e encaminhamento mais rápido e adequado, bem como facilita a referência e a contrarreferência dos atendimentos.";O prontuário eletrônico é um Histórico Clínico Digital (HCD) do usuário, ferramenta que permitirá a interoperabilidade entre os diferentes equipamentos da Secretaria Municipal da Saúde.;1;2;NULL;NULL;False;NULL;NULL;Percentual de Unidades Básicas de Saúde com prontuário eletrônico implantado.;3
3;1;3;Implantar 30 novos equipamentos de saúde no município.;A Prefeitura do Município de São Paulo tem realizado esforços constantes para ampliar o número de equipamentos de saúde e aprimorar a territorialização da assistência, de acordo com as necessidades de cada região. Para o período 2021-2024, serão implantados 30 novos equipamentos, ampliando o acesso aos serviços ofertados pela SMS, atendendo as especificidades de cada território. Objetiva-se ampliar os leitos, expandir e aprimorar a rede de urgência e emergência, melhorar o acolhimento a pessoas em situação de vulnerabilidade. Além disso, é prioridade da Prefeitura ampliar a cobertura da Atenção Básica, sobretudo naquelas regiões em que há vazio assistencial. Destaca-se a necessidade de ampliação e adequação da rede hospitalar para melhor oferta de serviços e cuidado às necessidades da população. Finalmente, cabe observar que a expansão desses equipamentos se insere na estratégia de combate à epidemia de Covid-19 no município, garantindo-se leitos exclusivos para o atendimento de pacientes acometidos pela doença e que permanecerão disponíveis à população após o fim da pandemia.;NULL;1;2;NULL;NULL;False;NULL;NULL;Número de equipamentos de saúde implantados (soma de novos equipamentos construídos e de equipamentos implantados em novas instalações).;3
4;1;4;Reformar e/ou reequipar 187 equipamentos de saúde no município.;"Além da ampliação da rede de atenção à saúde, a Prefeitura priorizará a qualificação e adequação da estrutura assistencial existente. Reforça-se o compromisso de ofertar à população serviço de saúde de qualidade e de acordo com as necessidades de saúde de cada território. A existência de condições adequadas para o atendimento das questões de saúde promove não apenas o maior conforto ao usuário, mas também permite a ampliação de serviços ofertados naquele equipamento. Nesse sentido, os esforços para reformar e/ou reequipar a rede alinham-se à estratégia de aperfeiçoamento e fortalecimento do sistema de saúde. Destaca-se que 180 reformas e reequipagens fazem parte do Programa Avança Saúde, financiado com recursos do Banco Interamericano de Desenvolvimento (BID).
Além destes, está prevista a reforma de sete hospitais municipais que garantirá melhores instalações para o adequado atendimento aos usuários. Mais do que isso, as reformas previstas compreendem, também, ampliação de 158 para 600 leitos, além da oferta de atendimento em especialidades como obstetrícia. A ampliação dos leitos ocorrerá prioritariamente em regiões onde há carência de leitos hospitalares e que na pandemia de Covid-19 ficaram ainda mais prejudicadas. As unidades reformadas contarão com total eficiência energética, reuso de águas pluviais com obtenção do SELO VERDE, que proporcionará num período de dez anos retorno do investimento inicial.";NULL;1;2;NULL;NULL;False;NULL;NULL;Número de equipamentos de saúde reformados e/ou reequipados.;3
5;1;5;Implantar seis Centros de Referência de Saúde Bucal.;"No município, o acesso à Saúde Bucal atualmente está em 22,7% (SISPACTO 2020), havendo territórios periféricos com vazios assistenciais. De acordo com o Ministério da Saúde, a proporção de Equipes Saúde da Família para equipes de Saúde Bucal deveria ser de 1:1, o que não ocorre no município. 
As iniciativas propostas auxiliarão a organização da Saúde Bucal no Município: A alta demanda de atendimento de urgência pelas Equipes de Saúde Bucal desestrutura o planejamento dos atendimentos em consultas eletivas. Há forte demanda em Saúde Bucal na Atenção Básica, com a necessidade de ações de Prevenção de Doenças, Promoção à Saúde e Tratamentos Restauradores e Cirúrgicos. Considerando a alta demanda também para as especialidades de prótese, cirurgia e endodontia, foi proposto o atendimento especializado em Centros de Referência Odontológica, equipamento que apoia aos Centros de Especialidades Odontológicas. 
O acesso de trabalhadores(as) e estudantes será favorecido com o funcionamento também em horários noturnos e aos sábados.";NULL;1;2;NULL;NULL;False;NULL;NULL;Número de centros implantados e em funcionamento.;3
6;1;6;Atingir a Cobertura Vacinal Preconizada (95%) para as quatro vacinas selecionadas (Poliomielite, Pneumocócica 10V, Pentavalente e SCR) em crianças de 1 ano de idade.;"A cobertura vacinal é um conceito que envolve o monitoramento da aplicação de doses em tempo oportuno, em conformidade com calendário vacinal pré-estabelecido. 
No caso da infância, este calendário é detalhadamente monitorado com metas preconizadas para cada imunobiológico (vacina), dado que as vacinas neste período são essenciais para o pleno desenvolvimento da criança. 
A vacinação é uma das formas mais eficientes de prevenção de doenças na infância, sendo segura e de ampla distribuição. Sua eficácia não se restringe somente à população vacinada, mas também à população não vacinada, quando se tem uma alta cobertura, proporcionando uma imunidade coletiva (imunidade de rebanho). Na primeira infância, é essencial que as crianças menores de um ano sejam vacinadas, pois estas estão mais susceptíveis às doenças e suas complicações. Embora estejamos vivenciando um momento atípico com o surgimento da Covid-19, é fundamental buscar altas taxas de coberturas vacinais para garantir que doenças que já estejam controladas não voltem a circular e acometer a população mais vulnerável. Desta maneira, foram escolhidas: (i) a vacina Pentavalente, que previne a difteria, tétano, coqueluche e infecções por Haemophilus Influenzae tipo B e hepatite B; (ii) a vacina Pneumocócica 10-valente, que previne as infecções causadas pelo pneumococo, responsável por doenças com elevadas cargas de mortalidade e morbidade na população infantil; (iii) a vacina poliomielite, para a prevenção da doença do mesmo nome, em fase de erradicação global; e (iv) a vacina tríplice viral, para a prevenção do sarampo e rubéola, doenças com compromisso de eliminação na região das Américas, além da caxumba.";"Vacinas selecionadas: Poliomielite; Pneumocócica 10V; Pentavalente; SCR.";1;3;NULL;NULL;False;NULL;NULL;Proporção das vacinas selecionadas com a cobertura vacinal preconizada de 95%.;3
7;1;7;Implantar seis Centros da Dor.;O Centro da Dor tem como finalidade prestar assistência integral e especializada a pacientes em risco ou com dor, incluindo triagem, avaliação, indicação e tratamento medicamentoso, terapias adjuvantes e em grupo. Além disso, será prestado atendimento interdisciplinar à demanda crescente de quadros dolorosos crônicos, com busca pela melhoria da qualidade de vida desses pacientes. Na lógica de prevenção e promoção da saúde, a criação dos equipamentos colaborará para o uso racional de medicamentos, redução de filas de espera, qualificação do atendimento com especialistas e promoção da assistência integral à saúde. Finalmente, ampliará o acesso dos usuários com dores crônicas à reabilitação e às práticas integrativas complementares, reduzindo assim as filas de espera para especialidades como fisioterapia, terapia ocupacional, ortopedia e fisiatria.;NULL;1;2;NULL;NULL;False;NULL;NULL;Número de Centros implantados.;3
8;1;8;Implantar seis novos Centros de Atenção Psicossocial (CAPS).;Os CAPS são serviços especializados em saúde mental, inseridos na comunidade com a função de atender pessoas com sofrimento severo e/ou persistentes em saúde mental em momentos de crise. Deve ser o ordenador do cuidado em saúde mental do território onde está inserido. Existem em três modalidades: Álcool e drogas, Infanto-juvenil e Adulto, tipo II ou III.;NULL;1;2;NULL;NULL;False;NULL;NULL;Número de CAPS implantados.;3
9;1;9;Ampliar a Cobertura da Atenção Básica com a implantação de 40 equipes de Estratégia de Saúde da Família (ESF).;"Estratégia Saúde da Família é a estratégia prioritária de atenção à saúde e visa à reorganização da Atenção Básica, de acordo com os preceitos do SUS. É considerada como estratégia de expansão, qualificação e consolidação da Atenção Básica, por favorecer uma reorientação do processo de trabalho com maior potencial de ampliar a resolutividade e impactar na situação de saúde das pessoas e coletividades, além de propiciar uma importante relação custo-efetividade. Composta por médico, enfermeiro, auxiliar e/ou técnico de enfermagem, além dos agentes comunitários de saúde (ACS). 
Essa ação tem impacto na resposta do município à epidemia de Covid-19, já que os profissionais da ESF têm conhecimento e atuação mais direta nas áreas sob sua responsabilidade; por meio do acompanhamento realizado pelos agentes comunitários de saúde são conhecidos os acamados, as pessoas com deficiências, os sintomáticos de Covid-19 etc. Isso permite, ainda, o desenvolvimento de ações comunitárias e/ou preventivas, de acordo com as características do território.";NULL;1;2;NULL;NULL;False;NULL;NULL;Número de equipes implantadas.;3
10;1;10;Criar 50 mil vagas em creches, condicionadas à demanda.;"Nos últimos anos a Secretaria Municipal de Educação vem realizando um grande esforço para assegurar o direito ao acesso à vaga de creche, que permitiu a universalização do atendimento em dezembro de 2020 e o registro de 375.560 matrículas na faixa etária de zero a três anos.
A ampliação de até 50 mil vagas no próximo quadriênio objetiva a manutenção da universalização de atendimento, possibilitando o registro de 425.560 matrículas ao final de 2024, com ações para construção de prédios municipais, inclusive CEUs, verificação dos espaços nas Unidades existentes e expansão de unidades por meio de parcerias com Organizações da Sociedade Civil.";Para manter o atendimento da demanda por vagas em creche de todas as crianças é necessário compatibilizar a oferta de vagas com a dinâmica e o fluxo sazonal da demanda. Nesse sentido, além de incrementos no cadastramento, a criação de novas vagas refletirá a variação na demanda.;1;3;NULL;NULL;False;NULL;NULL;Número de vagas criadas.;4
